Соколов Даниил Владимирович
Прохорова Татьяна Артёмовна
Борисов Василий Макарович
Воронова Ксения Григорьевна
Лавров Кирилл Даниилович
Медведева Алиса Егоровна
Попова Аделина Ильинична
Прокофьева Ксения Германовна
Григорьев Максим Платонович
Моисеев Артём Егорович
Власов Евгений Иванович
Белова Елизавета Артёмовна
Васильев Константин Львович
Демьянова Милана Ибрагимовна
Смирнова Варвара Александровна
Шульгин Матвей Львович
Чернов Иван Ильич
Васильев Артемий Андреевич
Егоров Евгений Давидович
Владимирова Екатерина Марковна
