Никитин Матвей Алиевич
Кузнецов Тимур Романович
Борисова Вероника Максимовна
Александров Максим Алексеевич
Макаров Дмитрий Романович
Чесноков Арсений Викторович
Жукова Екатерина Георгиевна
Калачева Мария Максимовна
Коновалов Макар Владиславович
Иванов Иван Ильич
Никитина Злата Никитична
Соколова Варвара Марковна
Алексеев Владислав Михайлович
Позднякова Арина Дмитриевна
Филиппова Варвара Александровна
Петрова Дарья Павловна
Воробьева Ангелина Михайловна
Панин Михаил Тимурович
Афанасьев Иван Николаевич
Захаров Максим Даниилович
